State,Winner,Biden,Trump
Alabama,Trump,849624,1441170
Alaska,Trump,153324,189818
Arizona,Biden,1672143,1661686
Arkansas,Trump,423932,760647
California,Biden,11090831,5989115
Colorado,Biden,1804196,1364471
Connecticut,Biden,1080680,715291
Delaware,Biden,296268,200603
District of Columbia,Biden,317323,18586
Florida,Trump,5297045,5668731
Georgia,Biden,2474507,2461837
Hawaii,Biden,366130,196864
Idaho,Trump,287021,554118
Illinois,Biden,3460611,2437755
Indiana,Trump,1242494,1729846
Iowa,Trump,758881,897467
Kansas,Trump,551144,752903
Kentucky,Trump,772474,1326646
Louisiana,Trump,856034,1255776
Maine,Biden,431277,360446
Maine CD-1,Biden,264866,162941
Maine CD-2,Trump,168143,197866
Maryland,Biden,1985023,976414
Massachusetts,Biden,2382202,1167202
Michigan,Biden,2804040,2649852
Minnesota,Biden,1717077,1484065
Mississippi,Trump,539494,756731
Missouri,Trump,1253561,1717912
Montana,Trump,244786,343602
Nebraska,Trump,374583,556846
Nebraska CD-1,Trump,132719,180988
Nebraska CD-2,Biden,176468,154377
Nevada,Biden,703486,669890
New Hampshire,Biden,424921,365654
New Jersey,Biden,2607331,1882454
New Mexico,Biden,501614,401894
New York,Biden,4253490,3041899
North Carolina,Trump,2684292,2758773
North Dakota,Trump,114902,235595
Ohio,Trump,2679165,3154834
Oklahoma,Trump,503890,1020280
Oregon,Biden,1340291,958410
Pennsylvania,Biden,3459986,3378344
Rhode Island,Biden,307486,199922
South Carolina,Trump,1091541,1385103
South Dakota,Trump,150471,261043
Tennessee,Trump,1139376,1849820
Texas,Trump,5259126,5890347
Utah,Trump,560282,865140
Vermont,Biden,242820,112704
Virginia,Biden,2413568,1962430
Washington,Biden,2369437,1584588
West Virginia,Trump,235984,545382
Wisconsin,Biden,1630716,1610151
Wyoming,Trump,73491,193559
