,State,Abbreviation,Pred_Dem_Votes,Act_Dem_Votes,Dem_Percent_Error,Pred_Rep_Votes,Act_Rep_Votes,Rep_Percent_Error,Predicted_Winner,Correct
0,Alabama,AL,874101,849624,2.880921442897093,1300310,1441170,9.774003066952545,Trump,True
1,Alaska,AK,151513,153324,1.1811588531475827,181493,189818,4.385780063007723,Trump,True
2,Arizona,AZ,1688557,1672143,0.9816146107121221,1604419,1661686,3.4463189796387526,Biden,True
3,Arkansas,AR,475004,423932,12.047215119405942,711160,760647,6.5059087855470406,Trump,True
4,California,CA,10883249,11090831,1.8716541618928284,6190744,5989115,3.366590890306832,Biden,True
5,Colorado,CO,1788779,1804196,0.8545080467975762,1323110,1364471,3.031284651707512,Biden,True
6,Connecticut,CT,1143522,1080680,5.8150423807232485,674975,715291,5.636307460879558,Biden,True
7,Delaware,DE,312951,296268,5.6310502653003365,181034,200603,9.755088408448527,Biden,True
8,District of Columbia,DC,311723,317323,1.7647633483863445,34768,18586,87.06553319703002,Biden,True
9,Florida,FL,5468471,5297045,3.2362571962292184,5242935,5668731,7.511310732507857,Biden,False
10,Georgia,GA,2450585,2474507,0.9667380209472028,2414910,2461837,1.9061781913262335,Biden,True
11,Hawaii,HI,381337,366130,4.153442766230573,198447,196864,0.8041084200260078,Biden,True
12,Idaho,ID,350676,287021,22.177819741412648,524324,554118,5.376833093312254,Trump,True
13,Illinois,IL,3596478,3460611,3.926098599351386,2386562,2437755,2.1000059480956863,Biden,True
14,Indiana,IN,1316179,1242494,5.930410931561843,1627867,1729846,5.895264665178288,Trump,True
15,Iowa,IA,757587,758881,0.17051421764413657,790147,897467,11.95809985213941,Trump,True
16,Kansas,KS,595619,551144,8.069578912226207,691090,752903,8.209955332891488,Trump,True
17,Kentucky,KY,850338,772474,10.07982145677395,1231154,1326646,7.198001576908987,Trump,True
18,Louisiana,LA,880735,856034,2.885516229495557,1236659,1255776,1.5223256376933467,Trump,True
19,Maine,ME,446439,431277,3.5156059794517214,344066,360446,4.544370030462261,Biden,True
20,Maine CD-1,ME-1,261069,264866,1.4335550806823072,160823,162941,1.2998570034552384,Biden,True
21,Maine CD-2,ME-2,184502,168143,9.729218581802394,181858,197866,8.090323754460089,Biden,False
22,Maryland,MD,1940056,1985023,2.2653138024093424,946450,976414,3.068780251000088,Biden,True
23,Massachusetts,MA,2566071,2382202,7.7184470502501465,1091934,1167202,6.448583878368955,Biden,True
24,Michigan,MI,2844324,2804040,1.4366414173834896,2485982,2649852,6.18411896211562,Biden,True
25,Minnesota,MN,1716104,1717077,0.056666066810049875,1371412,1484065,7.590840023853403,Biden,True
26,Mississippi,MS,537728,539494,0.32734377027362677,752752,756731,0.5258143250375629,Trump,True
27,Missouri,MO,1357017,1253561,8.252968942077809,1614277,1717912,6.032614010496464,Trump,True
28,Montana,MT,270072,244786,10.329839124786549,324750,343602,5.4865804040721535,Trump,True
29,Nebraska,NE,436476,374583,16.523173769231388,512376,556846,7.986050003052908,Trump,True
30,Nebraska CD-1,NE-1,156982,132719,18.281481927983183,164263,180988,9.240944150993435,Trump,True
31,Nebraska CD-2,NE-2,174474,176468,1.1299499059319535,150236,154377,2.682394398129255,Biden,True
32,Nevada,NV,702141,703486,0.19119072732079956,652500,669890,2.5959485885742435,Biden,True
33,New Hampshire,NH,386938,424921,8.938838042836197,322700,365654,11.747170822690304,Biden,True
34,New Jersey,NJ,2653423,2607331,1.7677847576698165,1659728,1882454,11.831683536490134,Biden,True
35,New Mexico,NM,495205,501614,1.2776756629599653,414326,401894,3.093352973669674,Biden,True
36,New York,NY,5622170,4253490,32.177811632330155,3001591,3041899,1.3250933052017835,Biden,True
37,North Carolina,NC,2741953,2684292,2.1480897011204445,2633562,2758773,4.538648159888472,Biden,False
38,North Dakota,ND,140768,114902,22.51135750465614,223483,235595,5.141025913113606,Trump,True
39,Ohio,OH,2922380,2679165,9.07801497854742,2987303,3154834,5.310295248498019,Trump,True
40,Oklahoma,OK,602417,503890,19.553275516481772,934120,1020280,8.444740659426824,Trump,True
41,Oregon,OR,1432530,1340291,6.882012935996736,921475,958410,3.8537786542294006,Biden,True
42,Pennsylvania,PA,3530666,3459986,2.0427828320692627,3207077,3378344,5.069554787789521,Biden,True
43,Rhode Island,RI,347507,307486,13.015551927567435,177493,199922,11.218875361390943,Biden,True
44,South Carolina,SC,1062637,1091541,2.647999479634755,1260824,1385103,8.972545724036408,Trump,True
45,South Dakota,SD,175248,150471,16.466295831090378,239736,261043,8.16225679294216,Trump,True
46,Tennessee,TN,1289149,1139376,13.145177711308644,1727656,1849820,6.604102020737153,Trump,True
47,Texas,TX,5326887,5259126,1.2884460269634155,5660451,5890347,3.9029279599317324,Trump,True
48,Utah,UT,640158,560282,14.256392316726222,812487,865140,6.0860669949372355,Trump,True
49,Vermont,VT,253882,242820,4.5556379210938145,117086,112704,3.888060760931289,Biden,True
50,Virginia,VA,2446911,2413568,1.3814816901781926,1974683,1962430,0.6243789587399295,Biden,True
51,Washington,WA,2496182,2369437,5.349161003225661,1515902,1584588,4.334628307168804,Biden,True
52,West Virginia,WV,257117,235984,8.955268153773137,506515,545382,7.126564499745133,Trump,True
53,Wisconsin,WI,1664970,1630716,2.100549697188229,1490911,1610151,7.405516625459352,Biden,True
54,Wyoming,WY,85174,73491,15.897184689281682,179879,193559,7.067612459250151,Trump,True
